batsim_id,oar_id
0,1079
1,1080
2,1081
3,1082
4,1083
5,1084
6,1085
7,1086
8,1087
9,1088
10,1089
11,1090
12,1091
13,1092
14,1093
15,1094
16,1095
17,1096
18,1097
19,1098
20,1099
21,1100
22,1101
23,1102
24,1103
25,1104
26,1105
27,1106
28,1107
29,1108
30,1109
31,1110
32,1111
33,1112
34,1113
35,1114
36,1115
37,1116
38,1117
39,1118
40,1119
41,1120
42,1121
43,1122
44,1123
45,1124
46,1125
47,1126
48,1127
49,1128
50,1129
51,1130
52,1131
53,1132
54,1133
55,1134
56,1135
57,1136
58,1137
59,1138
60,1139
61,1140
62,1141
63,1142
64,1143
65,1144
66,1145
67,1146
68,1147
69,1148
70,1149
71,1150
72,1151
73,1152
74,1153
75,1154
76,1155
77,1156
78,1157
79,1158
80,1159
81,1160
82,1161
83,1162
84,1163
85,1164
86,1165
87,1166
88,1167
89,1168
90,1169
91,1170
92,1171
93,1172
94,1173
95,1174
96,1175
97,1176
98,1177
99,1178
100,1179
101,1180
102,1181
103,1182
104,1183
105,1184
106,1185
107,1186
108,1187
109,1188
110,1189
111,1190
112,1191
113,1192
114,1193
115,1194
116,1195
117,1196
118,1197
119,1198
120,1199
121,1200
122,1201
123,1202
124,1203
125,1204
126,1205
127,1206
128,1207
129,1208
130,1209
131,1210
132,1211
133,1212
134,1213
135,1214
136,1215
137,1216
138,1217
139,1218
140,1219
141,1220
142,1221
143,1222
144,1223
145,1224
146,1225
147,1226
148,1227
149,1228
150,1229
151,1230
152,1231
153,1232
154,1233
155,1234
156,1235
157,1236
158,1237
159,1238
160,1239
161,1240
162,1241
163,1242
164,1243
165,1244
166,1245
167,1246
168,1247
169,1248
170,1249
171,1250
172,1251
173,1252
174,1253
175,1254
176,1255
177,1256
178,1257
179,1258
180,1259
181,1260
182,1261
183,1262
184,1263
185,1264
186,1265
187,1266
188,1267
189,1268
190,1269
191,1270
192,1271
193,1272
194,1273
195,1274
196,1275
197,1276
198,1277
199,1278
200,1279
201,1280
202,1281
203,1282
204,1283
205,1284
206,1285
207,1286
208,1287
209,1288
210,1289
211,1290
212,1291
213,1292
214,1293
215,1294
216,1295
217,1296
218,1297
219,1298
220,1299
221,1300
222,1301
223,1302
224,1303
225,1304
226,1305
227,1306
228,1307
229,1308
230,1309
231,1310
232,1311
233,1312
234,1313
235,1314
236,1315
237,1316
238,1317
239,1318
240,1319
241,1320
242,1321
243,1322
244,1323
245,1324
246,1325
247,1326
248,1327
249,1328
